Fecha,Hora,Potencia [kW],Insolacion [W/m2],Temperatura de modulos [C],Temperatura ambiente [C],Insolacion media [W/m2]
1/07/2020,0:00,x,0.99,11.66,11.4712,0.986666667
1/07/2020,0:05,x,0.98,11.59,11.39713929,0.987142857
1/07/2020,0:10,x,0.99,11.61,11.32784375,0.9875
1/07/2020,0:15,x,0.99,11.58,11.26286667,0.986666667
1/07/2020,0:20,x,0.99,11.38,11.210885,0.986
1/07/2020,0:25,x,0.98,11.17,11.15835455,0.985454545
1/07/2020,0:30,x,0.99,10.98,11.072925,0.984545455
1/07/2020,0:35,x,0.99,10.87,11.00110682,0.984545455
1/07/2020,0:40,x,0.98,10.77,10.93204091,0.983636364
1/07/2020,0:45,x,0.98,10.77,10.86479318,0.982727273
1/07/2020,0:50,x,0.98,10.66,10.82752045,0.982727273
1/07/2020,0:55,x,0.98,10.72,10.83295,0.983636364
1/07/2020,1:00,x,0.98,10.8,10.87933864,0.982727273
1/07/2020,1:05,x,0.98,10.85,10.93754545,0.981818182
1/07/2020,1:10,x,0.98,10.84,11.00572727,0.981818182
1/07/2020,1:15,x,0.99,10.97,11.10481818,0.981818182
1/07/2020,1:20,x,0.99,11.23,11.24752045,0.982727273
1/07/2020,1:25,x,0.98,11.49,11.38385909,0.983636364
1/07/2020,1:30,x,0.98,11.51,11.48931364,0.983636364
1/07/2020,1:35,x,0.98,11.52,11.60476818,0.983636364
1/07/2020,1:40,x,0.98,11.86,11.75476818,0.983636364
1/07/2020,1:45,x,0.99,12.23,11.91476818,0.983636364
1/07/2020,1:50,x,0.99,12.22,12.04933864,0.982727273
1/07/2020,1:55,x,0.98,11.96,12.15570227,0.982727273
1/07/2020,2:00,x,0.98,12.12,12.24842955,0.982727273
1/07/2020,2:05,x,0.98,12.49,12.35024773,0.982727273
1/07/2020,2:10,x,0.99,12.73,12.40933864,0.982727273
1/07/2020,2:15,x,0.98,12.71,12.44118182,0.981818182
1/07/2020,2:20,x,0.98,12.66,12.47938864,0.980909091
1/07/2020,2:25,x,0.98,12.53,12.54029773,0.980909091
1/07/2020,2:30,x,0.98,12.64,12.57484318,0.980909091
1/07/2020,2:35,x,0.98,12.51,12.58666136,0.980909091
1/07/2020,2:40,x,0.98,12.58,12.58032273,0.98
1/07/2020,2:45,x,0.98,12.64,12.58850455,0.98
1/07/2020,2:50,x,0.98,12.63,12.59123182,0.98
1/07/2020,2:55,x,0.98,12.5,12.55668636,0.98
1/07/2020,3:00,x,0.98,12.62,12.473075,0.979090909
1/07/2020,3:05,x,0.98,12.66,12.39219091,0.978181818
1/07/2020,3:10,x,0.98,12.8,12.29039773,0.977272727
1/07/2020,3:15,x,0.98,12.69,12.15951364,0.976363636
1/07/2020,3:20,x,0.98,12.15,12.00592727,0.974545455
1/07/2020,3:25,x,0.97,11.72,11.85506818,0.972727273
1/07/2020,3:30,x,0.97,11.62,11.69239091,0.970909091
1/07/2020,3:35,x,0.97,11.46,11.51062273,0.969090909
1/07/2020,3:40,x,0.97,11.2,11.32430909,0.967272727
1/07/2020,3:45,x,0.96,10.94,11.14708636,0.965454545
1/07/2020,3:50,x,0.96,10.84,11.01895455,0.963636364
1/07/2020,3:55,x,0.96,10.83,10.93622727,0.963636364
1/07/2020,4:00,x,0.96,10.66,10.85534318,0.962727273
1/07/2020,4:05,x,0.96,10.75,10.78718636,0.961818182
1/07/2020,4:10,x,0.96,10.74,10.74175682,0.960909091
1/07/2020,4:15,x,0.96,10.74,10.71902955,0.960909091
1/07/2020,4:20,x,0.97,10.81,10.72266591,0.960909091
1/07/2020,4:25,x,0.96,10.73,10.72718636,0.961818182
1/07/2020,4:30,x,0.96,10.71,10.74261591,0.962727273
1/07/2020,4:35,x,0.96,10.7,10.72531818,0.963636364
1/07/2020,4:40,x,0.96,10.69,10.68892955,0.964545455
1/07/2020,4:45,x,0.96,10.88,10.64892955,0.964545455
1/07/2020,4:50,x,0.97,10.88,10.62168182,0.963636364
1/07/2020,4:55,x,0.97,10.83,10.61892955,0.964545455
1/07/2020,5:00,x,0.97,10.56,10.61887955,0.966363636
1/07/2020,5:05,x,0.97,10.34,10.60246591,0.968181818
1/07/2020,5:10,x,0.96,10.3,10.57236591,0.971818182
1/07/2020,5:15,x,0.96,10.51,10.51770455,1.009090909
1/07/2020,5:20,x,0.97,10.7,10.45926136,1.25
1/07/2020,5:25,x,0.98,10.71,10.41202045,1.546363636
1/07/2020,5:30,x,0.98,10.52,10.37759318,1.971818182
1/07/2020,5:35,x,1,10.36,10.35270682,2.744545455
1/07/2020,5:40,0,1.37,10.29,10.33291364,3.761818182
1/07/2020,5:45,0,3.62,10.31,10.28160227,5.131818182
1/07/2020,5:50,0,4.23,10.4,10.21629773,6.944545455
1/07/2020,5:55,0.05,5.65,10.31,10.15760682,9.111818182
1/07/2020,6:00,0.19,9.47,10.3,10.12102727,11.69818182
1/07/2020,6:05,0.31,12.15,10.39,10.08917273,15.56727273
1/07/2020,6:10,0.53,16.03,10.36,10.08929318,20.81909091
1/07/2020,6:15,0.76,20.91,10.53,10.13953409,26.59545455
1/07/2020,6:20,0.98,24.82,10.72,10.18176818,33.09272727
1/07/2020,6:25,1.26,29.43,10.9,10.25090227,40.79363636
1/07/2020,6:30,2.08,43.56,11.18,10.39755682,47.29545455
1/07/2020,6:35,3.01,59.14,11.88,10.55343409,54.09
1/07/2020,6:40,3.46,67.16,12.61,10.73358864,62.64636364
1/07/2020,6:45,3.94,75.7,12.83,10.98477955,72.02454545
1/07/2020,6:50,4.91,90.36,13.4,11.29077045,81.22818182
1/07/2020,6:55,4.52,80.99,13.88,11.60249318,90.52090909
1/07/2020,7:00,4.84,86.89,14.16,11.95459318,99.89909091
1/07/2020,7:05,6.17,110.15,14.93,12.28637727,109.6854545
1/07/2020,7:10,6.95,124.07,16.13,12.67211364,120.1545455
1/07/2020,7:15,7.19,126.06,16.87,13.19406818,126.4636364
1/07/2020,7:20,7.66,131.65,17.14,13.63455909,129.6854545
1/07/2020,7:25,8.56,146.72,17.89,13.97339091,134.7527273
1/07/2020,7:30,9.86,166.79,18.49,14.37659773,140.7518182
1/07/2020,7:35,11.1,182.32,20.02,14.84318182,145.2727273
1/07/2020,7:40,8.86,145.1,20.48,15.30978636,147.4127273
1/07/2020,7:45,7.38,125.8,19.22,15.57891818,157.9236364
1/07/2020,7:50,8.05,136.73,19.14,15.49804773,204.3354545
1/07/2020,7:55,9.4,152.88,20.41,16.19775682,241.1063636
1/07/2020,8:00,9.6,159.88,21.43,17.21336818,271.58
1/07/2020,8:05,8.76,147.61,21.91,17.82282727,314.9054545
1/07/2020,8:10,13.28,241.68,23.01,18.44907045,372.5627273
1/07/2020,8:15,33.61,642.18,30.29,19.41555909,430.3763636
1/07/2020,8:20,28.88,551.2,36.71,20.84709091,470.6181818
1/07/2020,8:25,26.8,502,38.88,22.03762273,501.4418182
1/07/2020,8:30,34.82,658.9,39.83,22.61270682,552.5627273
1/07/2020,8:35,40.86,779.33,44.81,23.34356818,594.4818182
1/07/2020,8:40,39.47,761.75,47.34,24.17231136,642.23
1/07/2020,8:45,30.6,579.39,47.06,25.54518636,645.7618182
1/07/2020,8:50,26.72,491.94,42.83,25.84681591,673.5372727
1/07/2020,8:55,38.95,722.21,43.22,26.152125,702.8318182
1/07/2020,9:00,33.22,608.72,42.63,27.09235227,696.3772727
1/07/2020,9:05,40.93,766.91,46.57,27.87429091,678.72
1/07/2020,9:10,35.48,681.03,46.46,28.62706136,635.8754545
1/07/2020,9:15,43.85,856.73,48.43,28.54560455,605.4490909
1/07/2020,9:20,43.52,824.24,51.1,28.19351591,584.93
1/07/2020,9:25,31.03,587.9,48.22,28.19735227,545.2863636
1/07/2020,9:30,31.67,585.1,48.07,27.538275,526.6081818
1/07/2020,9:35,16.2,290.46,42.66,27.08085,488.6963636
1/07/2020,9:40,13.73,244.7,36.96,26.25271136,464.0336364
1/07/2020,9:45,15.25,266.23,32.75,25.781975,424.6554545
1/07/2020,9:50,16.79,286.13,31.27,24.94009545,392.8890909
1/07/2020,9:55,21.8,403.26,29.73,24.23365682,375.8009091
1/07/2020,10:00,19.92,349.88,30.07,23.56305227,355.2609091
1/07/2020,10:05,24.3,409.74,29.89,22.61713636,355.8727273
1/07/2020,10:10,25.25,423.57,31.34,21.72585227,374.4318182
1/07/2020,10:15,27.18,474.81,32.23,21.30265,393.7218182
1/07/2020,10:20,23.18,399.93,35.28,21.45372045,394.9390909
1/07/2020,10:25,21.32,359.16,34.48,21.88827273,387.9636364
1/07/2020,10:30,16.85,297.19,32.44,22.16919773,382.8390909
1/07/2020,10:35,25.13,448.85,32.77,22.49958409,374.23
1/07/2020,10:40,26.54,478.42,33.93,22.57883864,365.7281818
1/07/2020,10:45,17.81,299.52,33.3,22.56798409,356.47
1/07/2020,10:50,18.95,326.53,32.4,22.13586136,358.8281818
1/07/2020,10:55,16.85,293.51,31.61,21.90294091,357.6781818
1/07/2020,11:00,18.58,315.04,30.92,21.46468864,372.0609091
1/07/2020,11:05,19.7,330.05,29.64,21.58315,375.8854545
1/07/2020,11:10,22.04,372.97,29.31,21.94401364,369.9036364
1/07/2020,11:15,26.14,425.87,31.24,21.98065455,366.3563636
1/07/2020,11:20,20.7,346.51,31.57,22.00048864,356.5772727
1/07/2020,11:25,26.17,455.4,31.97,21.7836,351.8690909
1/07/2020,11:30,27.85,490.92,35.23,21.15767273,367.6218182
1/07/2020,11:35,24.05,412.62,36.09,21.11313636,386.2
1/07/2020,11:40,15.83,260.5,32.63,21.57273409,385.0245455
1/07/2020,11:45,13.33,218.96,29.66,22.02775682,374.5609091
1/07/2020,11:50,14.72,241.72,27.8,22.14615,372.14
1/07/2020,11:55,28.42,488.32,28.8,22.41902045,363.4736364
1/07/2020,12:00,32.51,534.41,34.77,22.54508864,353.1372727
1/07/2020,12:05,22.28,360.04,34.01,22.51483864,342.6009091
1/07/2020,12:10,19.9,310.77,33.08,22.32860227,343.0590909
1/07/2020,12:15,20.18,319.88,32.14,22.01468182,350.3090909
1/07/2020,12:20,22.28,360.07,32.35,21.23349318,379.9390909
1/07/2020,12:25,23.5,377.22,33.49,21.36561136,397.0190909
1/07/2020,12:30,18.4,296.72,32.57,21.30726591,413.5209091
1/07/2020,12:35,16.39,265.54,30.72,21.15263636,444.7636364
1/07/2020,12:40,18.77,298.71,28.4,21.20582727,475.5236364
1/07/2020,12:45,34.24,567.65,28.17,21.098975,519.31
1/07/2020,12:50,40.92,676.2,35.42,21.30589091,568.1163636
1/07/2020,12:55,42.68,715.93,39.12,21.68601136,614.4590909
1/07/2020,13:00,41.51,703.71,41.76,22.66928182,635.5963636
1/07/2020,13:05,39.34,649.13,42.97,23.37914773,637.3863636
1/07/2020,13:10,46.56,801.53,44.21,23.89123409,635.6245455
1/07/2020,13:15,48.85,896.94,49.39,24.55270455,605.1909091
1/07/2020,13:20,47.72,886.99,51.69,24.249925,561.4572727
1/07/2020,13:25,28.58,529.23,49.78,23.92528409,511.4772727
1/07/2020,13:30,17.45,285.23,39.07,23.01684318,476.5445455
1/07/2020,13:35,17.84,279.33,33.5,21.58460909,492.2290909
1/07/2020,13:40,14.84,232.88,26.24,21.09840455,498.4381818
1/07/2020,13:45,12.83,195.13,18.86,20.603975,497.6736364
1/07/2020,13:50,10.48,166.15,20.43,20.22133636,465.1745455
1/07/2020,13:55,15.56,319.45,21.2,18.99757727,437.6418182
1/07/2020,14:00,35.63,821.66,31.96,18.10454091,424.5290909
1/07/2020,14:05,36.91,869.83,40.74,17.66105455,408.16
1/07/2020,14:10,38.82,888.53,43.72,17.60767727,399.82
1/07/2020,14:15,25.09,529.5,37.65,17.83994091,419.6054545
1/07/2020,14:20,13.49,226.37,27.99,18.32074091,424.6672727
1/07/2020,14:25,9.28,140.99,25.28,19.04631364,415.6381818
1/07/2020,14:30,6.17,99.27,23.67,20.07733182,350.94
1/07/2020,14:35,8.32,141.14,23.13,20.45606591,279.0190909
1/07/2020,14:40,20.05,412.77,27.4,20.45023182,206.4709091
1/07/2020,14:45,14.11,221.83,27.25,19.95769545,169.7036364
1/07/2020,14:50,12.26,220.13,26.45,19.57873864,158.8227273
1/07/2020,14:55,6.95,109.98,23.73,19.28535682,152.83
1/07/2020,15:00,4.81,78.7,23.15,19.047575,149.1790909
1/07/2020,15:05,5.46,90.5,21.71,18.91486364,140.4181818
1/07/2020,15:10,8.45,125.06,21.11,18.95202273,109.6454545
1/07/2020,15:15,7.09,106.68,20.53,18.38328636,108.0127273
1/07/2020,15:20,4.37,75.07,20.24,18.14495455,106.9272727
1/07/2020,15:25,2.6,59.11,19.95,17.92093864,109.6518182
1/07/2020,15:30,2.62,44.77,19.02,17.68875227,116.1445455
1/07/2020,15:35,4.66,74.27,18.5,17.66407727,119.2236364
1/07/2020,15:40,7.99,203.87,20.5,17.92244318,112.3409091
1/07/2020,15:45,10.39,208.19,23.5,18.15470455,105.1181818
1/07/2020,15:50,8.54,139.95,22.09,18.27550227,100.6263636
1/07/2020,15:55,6.37,150.12,22.56,18.35564091,96.85272727
1/07/2020,16:00,5.2,124.37,22.37,18.43259318,94.15363636
1/07/2020,16:05,2.77,49.35,21.87,18.57133182,89.34
1/07/2020,16:10,1.44,27.23,20.9,18.83199318,72.72090909
1/07/2020,16:15,1.25,25.66,20.21,18.79954545,56.90909091
1/07/2020,16:20,0.68,17.6,19.69,18.71707273,48.73454545
1/07/2020,16:25,0.52,15.08,19.05,18.64180682,39.86818182
1/07/2020,16:30,0.8,21.32,18.57,18.56583864,32.01909091
1/07/2020,16:35,0.91,21.06,18.34,18.34925455,29.68
1/07/2020,16:40,1.72,34.26,18.36,18.15971136,28.50636364
1/07/2020,16:45,2.69,50.03,18.71,17.86431364,27.34727273
1/07/2020,16:50,2.94,52.59,19.05,17.51613409,27.08272727
1/07/2020,16:55,1.99,38.03,19.16,17.19140455,27.05636364
1/07/2020,17:00,1.04,23.62,18.78,16.91730227,26.01545455
1/07/2020,17:05,0.5,14.32,18.46,16.65468182,24.85454545
1/07/2020,17:10,0.41,12.91,16.61,16.4126,22.45090909
1/07/2020,17:15,0.48,14.69,15.78,16.16682273,18.56181818
1/07/2020,17:20,0.48,14.79,15.47,15.92150455,14.32545455
1/07/2020,17:25,0.24,9.87,15.24,15.63897273,11.21090909
1/07/2020,17:30,0.13,8.29,15.1,15.32187273,9.287272727
1/07/2020,17:35,0.12,7.82,14.97,14.94384318,8.29
1/07/2020,17:40,0.1,7.25,14.83,14.72369773,7.402727273
1/07/2020,17:45,0.05,5.99,15.07,14.59192955,6.31
1/07/2020,17:50,0,3.77,15.11,14.49841591,5.115454545
1/07/2020,17:55,0,2.46,14.71,14.42486136,4.319090909
1/07/2020,18:00,0,3.35,14,14.37124318,3.657272727
1/07/2020,18:05,0,3.15,13.92,14.32372273,3.038181818
1/07/2020,18:10,0,2.67,14,14.25111591,2.471818182
1/07/2020,18:15,0,1.65,14.08,14.13992955,2.019090909
1/07/2020,18:20,0,1.11,14.19,14.01773864,1.768181818
1/07/2020,18:25,0,1.01,14.31,13.935,1.636363636
1/07/2020,18:30,0,1.01,14.26,13.91630455,1.423636364
1/07/2020,18:35,x,1.02,13.86,13.9262,1.229090909
1/07/2020,18:40,x,1.01,13.71,13.92398636,1.078181818
1/07/2020,18:45,x,1.01,13.69,13.86649545,1.02
1/07/2020,18:50,x,1.01,13.76,13.75495227,1.01
1/07/2020,18:55,x,1.01,13.73,13.63497727,1.009090909
1/07/2020,19:00,x,1.01,13.97,13.53591136,1.008181818
1/07/2020,19:05,x,1.01,13.93,13.48596136,1.006363636
1/07/2020,19:10,x,1.01,13.43,13.47507727,1.005454545
1/07/2020,19:15,x,1,12.96,13.50055682,1.004545455
1/07/2020,19:20,x,1,12.99,13.53330909,1.003636364
1/07/2020,19:25,x,1,13.17,13.56697045,1.002727273
1/07/2020,19:30,x,1,13.31,13.57063182,1.001818182
1/07/2020,19:35,x,1,13.59,13.56792955,1.000909091
1/07/2020,19:40,x,1,13.97,13.58795455,1
1/07/2020,19:45,x,1,14.12,13.62340909,1
1/07/2020,19:50,x,1,14.1,13.61795455,1
1/07/2020,19:55,x,1,14.01,13.59431818,1
1/07/2020,20:00,x,1,13.9,13.55886364,1
1/07/2020,20:05,x,1,13.65,13.49340909,1
1/07/2020,20:10,x,1,13.35,13.39525227,0.999090909
1/07/2020,20:15,x,1,12.93,13.27255,0.998181818
1/07/2020,20:20,x,1,12.91,13.13802955,0.997272727
1/07/2020,20:25,x,1,12.92,13.01623636,0.996363636
1/07/2020,20:30,x,1,12.87,12.90353409,0.995454545
1/07/2020,20:35,x,0.99,12.89,12.81628636,0.994545455
1/07/2020,20:40,x,0.99,12.77,12.742675,0.993636364
1/07/2020,20:45,x,0.99,12.62,12.71451818,0.992727273
1/07/2020,20:50,x,0.99,12.67,12.67727045,0.991818182
1/07/2020,20:55,x,0.99,12.66,12.62365909,0.990909091
1/07/2020,21:00,x,0.99,12.69,12.57732045,0.99
1/07/2020,21:05,x,0.99,12.54,12.52913864,0.99
1/07/2020,21:10,x,0.99,12.62,12.48186591,0.99
1/07/2020,21:15,x,0.99,12.5,12.45732045,0.99
1/07/2020,21:20,x,0.99,12.33,12.43186591,0.99
1/07/2020,21:25,x,0.99,12.36,12.40186591,0.99
1/07/2020,21:30,x,0.99,12.36,12.362775,0.99
1/07/2020,21:35,x,0.99,12.25,12.27825455,0.989090909
1/07/2020,21:40,x,0.99,12.35,12.15555227,0.988181818
1/07/2020,21:45,x,0.99,12.39,12.05285,0.987272727
1/07/2020,21:50,x,0.99,12.33,11.97105682,0.986363636
1/07/2020,21:55,x,0.99,12.26,11.8529,0.985454545
1/07/2020,22:00,x,0.98,11.61,11.71837955,0.984545455
1/07/2020,22:05,x,0.98,11.27,11.57931364,0.983636364
1/07/2020,22:10,x,0.98,11.37,11.44479318,0.982727273
1/07/2020,22:15,x,0.98,11.43,11.32481818,0.981818182
1/07/2020,22:20,x,0.98,11.06,11.22211591,0.980909091
1/07/2020,22:25,x,0.98,10.88,11.10214091,0.98
1/07/2020,22:30,x,0.98,10.72,11.03577727,0.98
1/07/2020,22:35,x,0.98,10.87,10.99850455,0.98
1/07/2020,22:40,x,0.98,11.07,10.95486818,0.98
1/07/2020,22:45,x,0.98,11.2,10.90850455,0.98
1/07/2020,22:50,x,0.98,10.94,10.90941364,0.98
1/07/2020,22:55,x,0.98,10.88,10.93759545,0.98
1/07/2020,23:00,x,0.98,10.86,10.98941364,0.98
1/07/2020,23:05,x,0.98,10.89,11.02123182,0.98
1/07/2020,23:10,x,0.98,10.92,11.02850455,0.98
1/07/2020,23:15,x,0.98,11.07,11.01123182,0.98
1/07/2020,23:20,x,0.98,11.19,11.02577727,0.98
1/07/2020,23:25,x,0.98,11.29,11.02032273,0.98
1/07/2020,23:30,x,0.98,11.22,11.02032273,0.98
1/07/2020,23:35,x,0.98,11.15,11.01123182,0.98
1/07/2020,23:40,x,0.98,11.01,10.99486818,0.98
1/07/2020,23:45,x,0.98,11.1,10.95668636,0.98
1/07/2020,23:50,x,0.98,10.82,10.90941364,0.98
1/07/2020,23:55,x,0.98,10.86,10.84395909,0.98
2/07/2020,0:00,x,0.98,10.79,10.76852955,0.979090909
2/07/2020,0:05,x,0.98,10.74,10.68764545,0.978181818
2/07/2020,0:10,x,0.98,10.65,10.61585227,0.977272727
2/07/2020,0:15,x,0.98,10.67,10.53496818,0.976363636
2/07/2020,0:20,x,0.98,10.57,10.48681136,0.975454545
2/07/2020,0:25,x,0.97,10.39,10.43410909,0.974545455
2/07/2020,0:30,x,0.97,10.26,10.38231591,0.973636364
2/07/2020,0:35,x,0.97,10.22,10.35052273,0.972727273
2/07/2020,0:40,x,0.97,10.21,10.34415909,0.972727273
2/07/2020,0:45,x,0.97,10.29,10.35052273,0.972727273
2/07/2020,0:50,x,0.97,10.28,10.36870455,0.972727273
2/07/2020,0:55,x,0.97,10.22,10.39325,0.972727273
2/07/2020,1:00,x,0.97,10.39,10.42052273,0.972727273
2/07/2020,1:05,x,0.98,10.58,10.44961364,0.972727273
2/07/2020,1:10,x,0.98,10.74,10.46779545,0.972727273
2/07/2020,1:15,x,0.98,10.77,10.49325,0.972727273
2/07/2020,1:20,x,0.97,10.66,10.53506818,0.972727273
2/07/2020,1:25,x,0.97,10.56,10.59597727,0.972727273
2/07/2020,1:30,x,0.97,10.54,10.65325,0.972727273
2/07/2020,1:35,x,0.97,10.41,10.69691136,0.971818182
2/07/2020,1:40,x,0.97,10.57,10.72693636,0.970909091
2/07/2020,1:45,x,0.97,10.74,10.75787045,0.97
2/07/2020,1:50,x,0.97,10.89,10.813325,0.97
2/07/2020,1:55,x,0.97,11.02,10.88787045,0.97
2/07/2020,2:00,x,0.97,11.06,10.97420909,0.970909091
2/07/2020,2:05,x,0.97,11.07,11.06784545,0.970909091
2/07/2020,2:10,x,0.97,11.11,11.1433,0.970909091
2/07/2020,2:15,x,0.97,11.27,11.21511818,0.970909091
2/07/2020,2:20,x,0.97,11.38,11.27963864,0.971818182
2/07/2020,2:25,x,0.98,11.49,11.33418409,0.971818182
2/07/2020,2:30,x,0.97,11.44,11.37963864,0.971818182
2/07/2020,2:35,x,0.97,11.4,11.44236591,0.971818182
2/07/2020,2:40,x,0.97,11.53,11.52688636,0.972727273
2/07/2020,2:45,x,0.98,11.6,11.593225,0.973636364
2/07/2020,2:50,x,0.97,11.62,11.63140682,0.973636364
2/07/2020,2:55,x,0.97,11.56,11.62415909,0.972727273
2/07/2020,3:00,x,0.97,11.76,11.58961364,0.972727273
2/07/2020,3:05,x,0.98,12.04,11.55415909,0.972727273
2/07/2020,3:10,x,0.98,12,11.533275,0.971818182
2/07/2020,3:15,x,0.97,11.8,11.52239091,0.970909091
2/07/2020,3:20,x,0.97,11.41,11.52966364,0.970909091
2/07/2020,3:25,x,0.97,11.06,11.55420909,0.970909091
2/07/2020,3:30,x,0.97,11.01,11.57420909,0.970909091
2/07/2020,3:35,x,0.96,11.3,11.57150682,0.97
2/07/2020,3:40,x,0.97,11.48,11.57516818,0.969090909
2/07/2020,3:45,x,0.97,11.7,11.59607727,0.969090909
2/07/2020,3:50,x,0.97,11.83,11.58789545,0.969090909
2/07/2020,3:55,x,0.97,11.98,11.55880455,0.969090909
2/07/2020,4:00,x,0.97,12.01,11.51155682,0.968181818
2/07/2020,4:05,x,0.97,12.04,11.41973864,0.968181818
2/07/2020,4:10,x,0.97,12.03,11.30158182,0.967272727
2/07/2020,4:15,x,0.97,11.32,11.15069773,0.966363636
2/07/2020,4:20,x,0.97,10.74,10.99254091,0.965454545
2/07/2020,4:25,x,0.96,10.49,10.82804545,0.963636364
2/07/2020,4:30,x,0.96,10.29,10.65534318,0.962727273
2/07/2020,4:35,x,0.96,10.18,10.48264091,0.961818182
2/07/2020,4:40,x,0.96,10.04,10.31539318,0.960909091
2/07/2020,4:45,x,0.96,10.09,10.24448409,0.960909091
2/07/2020,4:50,x,0.95,10.17,10.23266591,0.960909091
2/07/2020,4:55,x,0.96,10.11,10.25264091,0.961818182
2/07/2020,5:00,x,0.96,10.14,10.28079773,0.962727273
2/07/2020,5:05,x,0.96,10.19,10.29986364,0.963636364
2/07/2020,5:10,x,0.97,10.54,10.30529318,0.964545455
2/07/2020,5:15,x,0.97,10.61,10.273325,0.97
2/07/2020,5:20,x,0.97,10.71,10.21954773,1.008181818
2/07/2020,5:25,x,0.97,10.6,10.16563864,1.117272727
2/07/2020,5:30,x,0.97,10.39,10.09688636,1.336363636
2/07/2020,5:35,x,0.97,10.1,10.03006364,1.683636364
2/07/2020,5:40,x,1.02,9.74,9.933411364,2.19
2/07/2020,5:45,0,1.37,9.59,9.846179545,2.882727273
2/07/2020,5:50,0,2.16,9.55,9.763263636,3.749090909
2/07/2020,5:55,0,3.37,9.45,9.708938636,4.997272727
2/07/2020,6:00,0.02,4.78,9.56,9.676784091,6.695454545
2/07/2020,6:05,0.08,6.54,9.63,9.660384091,10.20090909
2/07/2020,6:10,0.14,8.59,9.86,9.738822727,13.76181818
2/07/2020,6:15,0.26,10.5,10.06,9.837045455,17.36363636
2/07/2020,6:20,0.49,14.7,10.38,9.957331818,21.12181818
2/07/2020,6:25,0.77,19.65,10.55,10.1053,25.98909091
2/07/2020,6:30,1.91,39.53,10.98,10.26812045,30.41545455
2/07/2020,6:35,1.98,40.19,11.68,10.38743409,35.03545455
2/07/2020,6:40,2.02,40.99,11.76,10.48227045,40.81
2/07/2020,6:45,2.16,43.5,12.01,10.56038636,48.48181818
2/07/2020,6:50,2.99,56.91,12.55,10.71187955,55.03909091
2/07/2020,6:55,2.75,53.47,12.69,10.84767727,63.45636364
2/07/2020,7:00,3.07,57.36,12.34,11.04016818,72.06
2/07/2020,7:05,3.82,72.11,12.65,10.95073409,98.18818182
2/07/2020,7:10,5.03,94.89,13.24,11.27429773,117.9263636
2/07/2020,7:15,4.93,86.83,14.03,11.64135,133.4054545
2/07/2020,7:20,6.5,112.24,14.59,12.09207727,137.1145455
2/07/2020,7:25,8.64,134.17,15.7,12.33214773,143.0954545
2/07/2020,7:30,13.54,327.6,18.6,12.51648182,151.6981818
2/07/2020,7:35,11.04,258.11,21.29,12.72288636,161.1181818
2/07/2020,7:40,10.33,213.77,20.73,13.01562273,168.06
2/07/2020,7:45,5.3,97.71,18.63,13.30058864,178.3918182
2/07/2020,7:50,6.7,119.26,17.14,13.54874545,193.3018182
2/07/2020,7:55,8.4,151.99,16.97,13.62341364,226.6527273
2/07/2020,8:00,9.43,175.73,17.77,14.27251591,250.7845455
2/07/2020,8:05,9.54,171.25,18.56,15.07821364,261.3872727
2/07/2020,8:10,11.57,200.48,20.29,15.72688864,269.7990909
2/07/2020,8:15,15.6,276.25,21.83,16.23744091,282.6054545
2/07/2020,8:20,26.81,501.03,26.61,16.61491364,297.8709091
2/07/2020,8:25,31.55,593.05,33.04,17.23942727,305.2109091
2/07/2020,8:30,21.17,374.74,33.36,17.89253864,306.3209091
2/07/2020,8:35,18.29,306.3,30.41,18.22742273,319.2672727
2/07/2020,8:40,14.75,238.58,28.12,18.59008864,335.5009091
2/07/2020,8:45,17.44,287.18,25.91,19.30720227,339.11
2/07/2020,8:50,14.42,232.73,26.06,20.22325455,315.3527273
2/07/2020,8:55,11.33,187.94,25.29,20.59223864,281.6045455
2/07/2020,9:00,18.2,313.66,26.16,20.16957273,278.0981818
2/07/2020,9:05,22.09,379.05,29.19,19.93219318,285.0772727
2/07/2020,9:10,18.79,315.95,30.81,19.93315682,287.8190909
2/07/2020,9:15,14.52,239.7,29.5,19.972925,293.7118182
2/07/2020,9:20,12.97,221.82,26.89,19.84643409,300.1627273
2/07/2020,9:25,20.09,336.17,27.65,19.65666364,305.4436364
2/07/2020,9:30,22.18,383.07,29.91,19.65148636,303.7145455
2/07/2020,9:35,15.74,268.74,28.96,19.526475,300.8554545
2/07/2020,9:40,21.16,352,28.13,19.18774091,306.9581818
2/07/2020,9:45,17.81,303.69,26.62,18.72494091,336.1509091
2/07/2020,9:50,14.24,246.03,24.8,19.29535455,339.2763636
2/07/2020,9:55,17.38,294.64,25.58,19.9895,324.0181818
2/07/2020,10:00,19.84,347.6,26.95,20.087225,304.4645455
2/07/2020,10:05,21.84,383.08,28.93,19.61537045,296.6972727
2/07/2020,10:10,32.23,560.82,33.24,19.42951136,284.15
2/07/2020,10:15,14.78,256.2,34.11,19.25096136,281.1881818
2/07/2020,10:20,9.56,168.33,30.67,18.59322273,309.6018182
2/07/2020,10:25,9.96,167.98,25.07,18.24548636,345.7509091
2/07/2020,10:30,11.54,183.3,21.42,18.47664091,358.6345455
2/07/2020,10:35,13.55,213.98,22.29,17.86833409,381.1845455
2/07/2020,10:40,16.91,271.11,23.76,17.72832955,381.35
